"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_E2F_TARGETS",2.51889646273818e-23,1.25944823136909e-21,1.25451347943706,-0.593066252734454,-2.70982964004455,200,"KIF4A;CDCA3;KIF18B;CDKN3;E2F8;CDK1;MKI67;STMN1;TACC3;TK1;TMPO;CCNB2;BUB1B;PLK1;DEPDC1;DLGAP5;LMNB1;BRCA2;TOP2A;SPAG5;PRIM2;SPC24;CENPE;CHEK1;NCAPD2;MELK;CDC20;NUDT21;ASF1B;SMC4;AURKB;MYBL2;HMMR;KIF2C;ASF1A;H2AZ1;BIRC5;ESPL1;PTTG1;CENPM;NAP1L1;MAD2L1;MCM7;UBE2T;CDCA8;SUV39H1;PLK4;PDS5B;EZH2;AURKA;PSIP1;CDKN2C;GINS1;TRA2B;DIAPH3;MCM3;ANP32E;TP53;CNOT9;NUP153;CCP110;RAD51AP1;RBBP7;SMC3;NUP107;MMS22L;DEK;PCNA;DUT;KPNA2;ILF3;TRIP13;HELLS;KIF22;BRCA1;RRM2;CDC25A;SPC25;DSCC1;H2AX;ORC6;HMGB2;CIT;MCM6;EED;NASP;CKS2;NAA38;PPM1D;RACGAP1;NME1;HNRNPD;MCM2;CKS1B;SYNCRIP;UNG;TCF19"
"HALLMARK_G2M_CHECKPOINT",3.1893034977285e-22,7.97325874432125e-21,1.22105375677186,-0.585816579418434,-2.67335263754591,196,"KIF23;KIF4A;TROAP;CDKN3;CDK1;KNL1;MKI67;STMN1;TACC3;CENPF;TTK;TMPO;NDC80;CCNB2;CUL1;PBK;PLK1;LMNB1;BRCA2;TOP2A;PRIM2;KIF11;SQLE;E2F2;CENPE;CHEK1;MARCKS;UBE2C;CDC20;CCNF;NUSAP1;SMC4;FBXO5;AURKB;MYBL2;TPX2;HMMR;KIF2C;PRC1;CCNA2;KIF15;H2AZ1;BIRC5;ESPL1;POLQ;CENPA;PTTG1;KIF20B;E2F3;NEK2;MAD2L1;SLC7A1;EXO1;SUV39H1;E2F1;PLK4;BUB1;PDS5B;EZH2;AURKA;CDC45;CDKN2C;INCENP;TRA2B;DBF4;SMC2;MCM3;ABL1;SAP30;CUL5;GINS2;TRAIP;ATRX;PURA;KPNA2;ILF3;SLC12A2;KIF22;NUMA1;HMGN2;CDC25A;H2AX;RAD54L;ORC6;MCM6;RASAL2;NASP;CKS2;SNRPD1;MEIS2;DKC1;RACGAP1;HNRNPD;MCM2;CKS1B;SYNCRIP;CBX1"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",7.23305015472347e-14,1.20550835912058e-12,0.954541630725724,-0.512122888635891,-2.32531561906742,190,"FSTL3;LAMA1;ADAM12;FAP;LOXL2;PMEPA1;P3H1;POSTN;COL5A2;CDH6;ANPEP;FN1;BMP1;INHBA;CRLF1;COL5A3;COL5A1;CDH2;LOXL1;MATN2;SFRP4;FBN1;ITGAV;COL3A1;CTHRC1;LAMA3;COL6A3;PDGFRB;DPYSL3;PTHLH;VEGFC;DST;NID2;ITGA2;SERPINE2;COL1A1;MCM7;COL7A1;FBN2;EDIL3;COL4A1;COL4A2;COL12A1;ECM1;WNT5A;IGFBP3;BASP1;MMP2;MMP14;ECM2;TNC;HTRA1;TIMP3;PLOD1;TNFRSF11B;SERPINH1;APLP1;ELN;MGP;THBS1;QSOX1;IGFBP2;MAGEE1;CCN2;SERPINE1;NTM;CDH11;PLOD2;GAS1;LUM;FGF2;COL16A1;MEST;MSX1;FERMT2;EFEMP2"
"HALLMARK_MITOTIC_SPINDLE",2.39364018370598e-09,2.99205022963247e-08,0.774939030136436,-0.457861826318919,-2.0914434334349,198,"KIF23;MYH10;KIF4A;CLIP2;CDK1;CENPF;TTK;NDC80;ANLN;CCNB2;PLK1;DLGAP5;LMNB1;BRCA2;TOP2A;ARAP3;KIF11;CENPE;MARCKS;TRIO;NUSAP1;SMC4;FBXO5;TPX2;KIF2C;PRC1;DST;KIF15;EPB41L2;BIRC5;ESPL1;KIF20B;VCL;NEK2;FSCN1;PIF1;PPP4R2;TIAM1;BUB1;AURKA;INCENP;CCDC88A;ABL1;SMC3;SASS6;AKAP13;KIF3C;KIF22;NUMA1;GEMIN4;PALLD;SAC3D1;ARHGEF3;CEP131;CEP57;STK38L;PKD2;PXN"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",2.92619560557924e-08,2.92619560557924e-07,0.73376198835648,0.413451080135104,1.97895440812284,194,"DUSP2;FOSL1;SGK1;SIK1;HBEGF;ZC3H12A;DUSP5;SDC4;VEGFA;TNFSF9;PHLDA2;BCL6;NR4A3;NAMPT;MAFF;MXD1;EFNA1;CCL20;IL6;BCL3;CXCL1;ETS2;DUSP4;BHLHE40;DENND5A;TRIP10;MAP3K8;GADD45B;GCH1;FOSL2;TNFAIP3;NFIL3;CSF1;KLF6;CDKN1A;TNF;ICOSLG;MAP2K3;IRF1;CCL2;CCNL1;CLCF1;RIGI;SAT1;PLPP3;NFAT5;ICAM1;PFKFB3;PER1;CEBPD;PPP1R15A;RIPK2;PNRC1;CXCL3;AREG;CD44;CXCL2;EIF1;CFLAR;KLF9;PLAUR;NFKBIA;GEM;ZFP36;SOD2;MCL1;SQSTM1;NFKB2;B4GALT1;ATF3;NR4A1;SERPINB8;SLC2A3;KLF10;BTG2;IL6ST;DNAJB4;LIF;ZBTB10"
"HALLMARK_MYC_TARGETS_V1",1.92759978088722e-07,1.60633315073935e-06,0.690132458796796,-0.418353647892314,-1.91153536363323,200,"HPRT1;CUL1;CDC20;RRM1;HDAC2;CCNA2;H2AZ1;PHB2;NAP1L1;MAD2L1;MCM7;SNRPB2;CDC45;TRA2B;PPM1G;CCT2;CBX3;HNRNPR;DEK;PCNA;DUT;KPNA2;APEX1;HNRNPA1;PSMC6;HNRNPA2B1;PSMA6;GNL3;ERH;RPL34;MCM6;SNRPD1;RPL22;NPM1;NME1;MRPL23;HNRNPD;MCM2;SYNCRIP;RPL6;MRPL9;PSMD7;SRSF3;MCM4;SSB;TYMS;LSM7;EIF4E;RPS10;PSMA4;SNRPG;PABPC4;RPS3;SNRPD3;SET;CCT4;CSTF2;RANBP1;PABPC1;RPLP0;PSMC4;G3BP1;SNRPD2;PSMA2;CDK4;TRIM28;SERBP1;SSBP1;FBL;GLO1;UBA2;RPL18;ACP1;RACK1;RAD23B;PSMA1;PA2G4;MCM5;EIF3D;RPS6"
"HALLMARK_NOTCH_SIGNALING",0.000274609042763002,0.00196149316259287,0.49849310876659,-0.586034058393187,-1.96232876487384,32,"FZD5;DLL1;CUL1;TCF7L2;LFNG;HEYL;WNT5A;FZD1;SAP30;NOTCH3;DTX1;JAG1;WNT2;NOTCH1;ARRB1;HES1;RBX1"
"HALLMARK_DNA_REPAIR",0.00082552591078419,0.00458625505991217,0.477270815362862,-0.362737743163821,-1.59646416124919,149,"HPRT1;NUDT21;AK3;ZWINT;ERCC4;RRM2B;CSTF3;TP53;NME4;PCNA;DUT;POLB;FEN1;NUDT9;RAD51;SAC3D1;ERCC8;POLR3GL;CMPK2;BRF2;CCNO;POLR1C;POLR3C;USP11;CETN2;NME1;GSDME;TK2;ERCC2;POLR2J;CANT1;TYMS;ERCC1;NT5C3A;SSRP1;ITPA;RALA;RBX1;ERCC3;CLP1;POLR1D;ADA;EIF1B;GTF2B;DGCR8;RPA3;PRIM1;NPR2;SF3A3;POLR1H;RAD52;LIG1;NT5C;DCTN4;APRT;POLD1;GTF2F1;POLR2H;POLD3;POLE4;RFC4;POLR2I;RFC2;MPG;PDE4B;ERCC5;TAF9;UMPS;GTF2H5;REV3L;RAE1;NME3;POLA1;SURF1;POLA2;GTF2H3"
"HALLMARK_XENOBIOTIC_METABOLISM",0.000761770526277988,0.00458625505991217,0.477270815362862,0.328604505098574,1.56015915591417,172,"MT2A;ALDH2;PDK4;ALAS1;EPHA2;GCNT2;SLC6A6;ENTPD5;CYP26A1;CA2;BCAT1;ARG2;SLC6A12;ATOH8;ETS2;SPINT2;ITIH4;ASL;ATP2A2;LPIN2;GCH1;PTGR1;CYP2E1;RBP4;BLVRB;GABARAPL1;CD36;MAOA;PC;CYP2C18;HGFAC;NPC1;CDA;JUP;SLC35D1;PMM1;POR;ABCC3;TMBIM6;ETFDH;FAS;DDT;EPHX1;ADH1C;TDO2;ACO2;CAT;PPARD;ACOX3;CBR1"
"HALLMARK_SPERMATOGENESIS",0.00166573905965298,0.00832869529826491,0.45505986738723,-0.399460088889549,-1.62370074621931,87,"CDKN3;CDK1;TTK;CCNB2;SNAP91;CFTR;TLE4;KIF2C;IL13RA2;ARL4A;NEK2;NCAPH;CHRM4;BUB1;EZH2;AURKA;CAMK4;DBF4;PACRG"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.00227212002882897,0.010327818312859,0.431707695803346,0.299978626569759,1.42530759280479,187,"SLC26A2;DUSP2;HSPB8;GAL;SGK1;RAPGEFL1;ISG20;CD9;TOB1;SCNN1A;SERPINA3;CA2;FKBP5;SLC7A5;NHERF1;PERP;SORD;GALE;TRIM29;BAG1;KRT19;DYNLT3;RPS6KA2;ANXA9;PLXNB1;SEMA3B;SFN;CYP4F11;BLVRB;OVOL2;FKBP4;FABP5;XRCC3;HOMER2;TPD52L1;PRKAR2B;HSPA4L;CDH1;PLAAT3;TH;CACNA2D2;AREG;PKP3;CD44;XBP1;UNC13B;ABCA3;FLNB;ZFP36"
"HALLMARK_HYPOXIA",0.00317557192044237,0.0132315496685099,0.431707695803346,0.293210193176001,1.39965791994851,190,"STC1;PCK1;MT1E;MT2A;ANGPTL4;ISG20;SDC4;VEGFA;GCNT2;DDIT3;P4HA1;PFKP;SLC6A6;ADM;MAFF;EFNA1;IL6;ERRFI1;GAA;BHLHE40;TPST2;GLRX;RORA;FOSL2;PLIN2;TNFAIP3;NFIL3;WSB1;KLF6;CDKN1A;LDHA;PGAM2;JMJD6;GPC4;PFKFB3;GPI;ANKZF1;PPP1R15A;PNRC1;NOCT;PHKG1;PLAUR;PGM1;ZFP36;CP;ANXA2;NDRG1;PPFIA4;CA12;ATF3;PFKL;SLC2A3;MXI1;ALDOA;HSPA5"
